,date,level-current,level-chained,change-current,change-chained
0,1948,274.8,2020,-0.7,-0.6
1,1949,272.8,2008.9,10,8.7
2,1950,300.2,2184,15.7,8
3,1951,347.3,2360,5.9,4.1
4,1952,367.7,2456.1,6,4.7
5,1953,389.7,2571.4,0.3,-0.6
6,1954,391.1,2556.9,8.9,7.1
7,1955,426.2,2739,5.6,2.1
8,1956,450.1,2797.4,5.5,2.1
9,1957,474.9,2856.3,1.5,-0.7
10,1958,482,2835.3,8.4,6.9
11,1959,522.5,3031,4,2.6
12,1960,543.3,3108.7,3.7,2.6
13,1961,563.3,3188.1,7.4,6.1
14,1962,605.1,3383.1,5.6,4.4
15,1963,638.6,3530.4,7.4,5.8
16,1964,685.8,3734,8.4,6.5
17,1965,743.7,3976.7,9.6,6.6
18,1966,815,4238.9,5.7,2.7
19,1967,861.7,4355.2,9.4,4.9
20,1968,942.5,4569,8.2,3.1
21,1969,1019.9,4712.5,5.5,0.2
22,1970,1075.9,4722,8.5,3.3
23,1971,1167.8,4877.6,9.8,5.3
24,1972,1282.4,5134.3,11.4,5.6
25,1973,1428.5,5424.1,8.4,-0.5
26,1974,1548.8,5396,9,-0.2
27,1975,1688.9,5385.4,11.2,5.4
28,1976,1877.6,5675.4,11.1,4.6
29,1977,2086,5937,13,5.5
30,1978,2356.6,6267.2,11.7,3.2
31,1979,2632.1,6466.2,8.8,-0.3
32,1980,2862.5,6450.4,12.2,2.5
33,1981,3211,6617.7,4.3,-1.8
34,1982,3345,6491.3,8.7,4.6
35,1983,3638.1,6792,11.1,7.2
36,1984,4040.7,7285,7.5,4.2
37,1985,4346.7,7593.8,5.5,3.5
38,1986,4590.2,7860.5,6,3.5
39,1987,4870.2,8132.6,7.9,4.2
40,1988,5252.6,8474.5,7.7,3.7
41,1989,5657.7,8786.4,5.7,1.9
42,1990,5979.6,8955,3.3,-0.1
43,1991,6174,8948.4,5.9,3.5
44,1992,6539.3,9266.6,5.2,2.8
45,1993,6878.7,9521,6.3,4
46,1994,7308.8,9905.4,4.8,2.7
47,1995,7664.1,10174.8,5.7,3.8
48,1996,8100.2,10561,6.2,4.4
49,1997,8608.5,11034.9,5.7,4.5
50,1998,9089.2,11525.9,6.3,4.8
51,1999,9660.6,12065.9,6.5,4.1
52,2000,10284.8,12559.7,3.2,1
53,2001,10621.8,12682.2,3.4,1.7
54,2002,10977.5,12908.8,4.8,2.9
55,2003,11510.7,13271.1,6.6,3.8
56,2004,12274.9,13773.5,6.7,3.5
57,2005,13093.7,14234.2,6,2.9
58,2006,13855.9,14613.8,4.6,1.9
59,2007,14477.6,14873.7,1.8,-0.1
60,2008,14718.6,14830.4,-1.8,-2.5
61,2009,14418.7,14418.7,3.8,2.6
62,2010,14964.4,14783.8,3.7,1.6
63,2011,15517.9,15020.6,4.2,2.2
64,2012,16155.3,15354.6,3.6,1.8
65,2013,16691.5,15612.2,4.4,2.5
66,2014,17427.6,16013.3,4,2.9
67,2015,18120.7,16471.5,2.7,1.6
68,2016,18624.5,16716.2,4.2,2.2
